Date,Visiter,Home,Spread,OverUnder
8/26/2016,Cal,Hawaii,20.5,66
9/1/2016,Indiana,FIU,10.5,64
9/1/2016,Charlotte,Louisville,-38.5,58.5
9/1/2016,Tulane,Wake Forest,-15,42.5
9/1/2016,Rice,W Kentucky,-17.5,64
9/1/2016,South Carolina,Vanderbilt,-4.5,41
9/1/2016,Oregon State,Minnesota,-12.5,56
9/1/2016,Appalachian St,Tennessee,-21.5,58
9/2/2016,Ball State,Georgia State,-5,55
9/2/2016,Army,Temple,-15,46
9/2/2016,Colorado State,Colorado,-7.5,57.5
9/2/2016,Kansas State,Stanford,-13,49.5
9/2/2016,Toledo,Arkansas State,-4.5,65
9/3/2016,Toledo,Arkansas State,-4,64
9/3/2016,Georgia Tech,Boston College,3.5,43
9/3/2016,Hawaii,Michigan,-38,56
9/3/2016,Miami (OH),Iowa,-27.5,52.5
9/3/2016,W Michigan,Northwestern,-3.5,53.5
9/3/2016,Bowling Green,OSU,-27.5,63.5
9/3/2016,Kent State,Penn State,-23.5,44.5
9/3/2016,Missouri,West Virginia,-9.5,51.5
9/3/2016,New Mexico St,UTEP,-9.5,58.5
9/3/2016,SMU,North Texas,7.5,65.5
9/3/2016,South Alabama,Miss St,-28.5,54
9/3/2016,Texas State,Ohio,-17.5,59
9/3/2016,Southern Miss,Kentucky,-4,62.5
9/3/2016,LA Tech,Arkansas,-21,53
9/3/2016,UMass,Florida,-35,51.5
9/3/2016,Clemson,Auburn,7.5,62.5
9/3/2016,UCLA,Texas A&M,-4,53.5
9/3/2016,San Jose State,Tulsa,-4,65.5
9/3/2016,Rutgers,Washington,-25,56
9/3/2016,LSU,Wisconsin,12.5,44.5
9/3/2016,UNC,Georgia,-3.5,59.5
9/3/2016,Oklahoma,Houston,13,66
9/3/2016,Fresno State,Nebraska,-28.5,62.5
9/3/2016,USC,Alabama,-12,51.5
9/3/2016,Boise State,LA-Lafayette,18.5,62.5
9/3/2016,BYU,Arizona,1,63
9/3/2016,N Illinois,Wyoming,7,54.5
9/4/2016,Notre Dame,Texas,3.5,55
9/5/2016,Ole Miss,FSU,-5,57.5
9/9/2016,Maryland,FIU,11,56.5
9/9/2016,Louisville,Syracuse,16.5,68
9/10/2016,Boston College,UMass,16.5,38
9/10/2016,Arkansas,TCU,-10,57
9/10/2016,Rice,Army,-8,51
9/10/2016,Ohio,Kansas,-3,60.5
9/10/2016,UCF,Michigan,-36,54.5
9/10/2016,E Michigan,Missouri,-23,57.5
9/10/2016,Penn State,Pitt,-4,44.5
9/10/2016,Cincinnati,Purdue,3,58.5
9/10/2016,Ball State,Indiana,-16.5,61.5
9/10/2016,UL Monroe,Oklahoma,-46,63.5
9/10/2016,Cent Michigan,Oklahoma State,-17.5,60.5
9/10/2016,Akron,Wisconsin,-22,46.5
9/10/2016,North Carolina St,ECU,6,58
9/10/2016,Tulsa,OSU,-28,72.5
9/10/2016,Troy,Clemson,-34.5,62.5
9/10/2016,N Illinois,USF,-14,56
