HomeID,VisID,Season,Week,Spread_Mirage,Spread_Pinnacle,Spread_Sportsbet,Spread_Westgate,Spread_Station,Spread_SIA,Spread_SBG,Spread_BetUS,target_margin,Conf,Spread_Med,Spread_Mode
2,61,2013,12,-3.5,-3.0,-3.0,-3.5,-3.5,-3.5,-3.0,-3.0,5,sec,-3.25,-3.5
57,61,2013,10,3.5,3.5,3.5,3.5,4.0,3.5,3.5,3.5,-3,sec,3.5,3.5
59,61,2013,14,3.0,2.5,3.0,3.0,3.0,2.5,3.0,3.0,-7,acc,3.0,3.0
228,61,2013,1,2.5,1.5,1.5,2.0,2.5,2.5,2.5,1.5,3,acc,2.25,2.5
238,61,2013,8,7.0,6.5,7.0,6.5,7.0,6.5,7.0,7.0,4,sec,7.0,7.0
2633,61,2013,6,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,-3,sec,13.5,13.5
2,142,2013,15,,2.0,2.0,1.5,,2.0,2.0,2.0,17,sec,2.0,2.0
61,142,2013,7,-7.0,-6.5,-6.5,-6.5,-6.5,-7.0,-6.5,-7.0,-15,sec,-6.5,-6.5
96,142,2013,11,14.5,14.0,14.0,14.5,,15.0,14.5,,-31,sec,14.5,14.5
238,142,2013,6,,2.5,3.0,2.5,2.5,2.5,2.5,3.0,-23,sec,2.5,2.5
2,145,2013,6,3.0,3.0,3.0,3.0,2.5,2.5,2.0,3.0,8,sec,3.0,3.0
238,145,2013,1,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,-4,sec,3.0,3.0
333,145,2013,5,,-14.0,-14.0,-14.0,,-14.0,-13.5,-14.0,25,sec,-14.0,-14.0
344,145,2013,14,4.0,4.0,3.5,4.0,4.5,4.0,3.5,4.0,7,sec,4.0,4.0
2,265,2013,1,-14.0,-14.0,-14.0,-14.0,,-14.0,,-14.0,7,sec,-14.0,-14.0
12,265,2013,12,-10.5,-11.0,-11.0,-11.0,-11.5,-11.0,-11.5,-11.0,-7,pac-12,-11.0,-11.0
25,265,2013,6,,1.5,2.0,2.0,1.5,1.5,1.5,,-22,pac-12,1.5,1.5
264,265,2013,14,-17.0,-17.5,-17.5,-17.0,,-17.0,,,10,pac-12,-17.0,-17.0
2,333,2013,14,10.5,10.0,10.0,10.0,10.5,10.5,10.0,10.0,6,sec,10.0,10.0
96,333,2013,7,,26.5,26.5,,,27.5,,,-41,sec,26.5,26.5
245,333,2013,3,9.5,8.5,9.5,9.0,8.5,9.0,8.0,8.0,-7,sec,8.75,8.0
259,333,2013,1,,21.5,21.5,21.0,,22.0,,,-25,acc,21.5,21.5
2,344,2013,3,-5.5,-6.5,-6.5,-6.5,-6.5,-6.0,-6.0,-6.5,4,sec,-6.5,-6.5
8,344,2013,13,,2.5,2.5,3.0,,2.0,2.5,2.5,-7,sec,2.5,2.5
197,344,2013,1,-13.5,-12.0,-12.5,-12.0,-12.0,-13.0,-12.5,-12.5,18,big-12,-12.5,-12.5
245,344,2013,11,,-19.5,-19.5,-19.5,,-20.0,,,10,sec,-19.5,-19.5
2579,344,2013,10,-13.0,-13.5,-13.0,-13.0,-13.0,-13.0,-13.0,-13.5,18,sec,-13.0,-13.0
2,2032,2013,2,-10.5,-10.5,-10.5,-10.5,,-10.5,-10.5,-10.5,29,sec,-10.5,-10.5
6,2032,2013,10,-3.5,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0,-1,sun-belt,-3.0,-3.0
98,2032,2013,14,-6.0,-6.0,-6.0,-5.5,,-5.5,-5.5,-6.0,3,sun-belt,-6.0,-6.0
142,2032,2013,5,,-23.0,-23.0,-22.5,,-22.0,,,22,sec,-22.75,-23.0
235,2032,2013,4,4.0,3.5,3.5,3.5,4.0,4.0,3.5,3.5,24,american,3.5,3.5
2,2226,2013,9,,-23.0,-23.0,-23.5,,-23.5,,,35,sec,-23.25,-23.5
5,2226,2013,6,-3.5,-3.0,-3.5,-3.5,-4.0,-3.5,-4.0,-3.5,-14,cusa,-3.5,-3.5
58,2226,2013,3,,-12.0,-12.0,-12.5,,-12.5,-12.0,-12.0,-18,american,-12.0,-12.0
151,2226,2013,2,,-18.0,-18.0,-19.0,,-20.0,,,18,cusa,-18.5,-18.0
242,2226,2013,5,-14.0,-14.5,-14.5,-14.0,-14.0,-14.5,-14.0,-14.5,4,cusa,-14.25,-14.5
2390,2226,2013,1,,,-31.0,,,,,,28,acc,-31.0,-31.0
2572,2226,2013,12,,17.0,17.5,18.0,,17.5,,,-34,cusa,17.5,17.5
2,2717,2013,7,,,-41.0,,,,,,59,sec,-41.0,-41.0
259,2717,2013,2,,,-42.0,,,,,,42,acc,-42.0,-42.0
2393,2717,2013,1,,,-31.5,,,,,,21,cusa,-31.5,-31.5
5,242,2013,13,,17.0,17.0,17.5,,17.5,,,-3,cusa,17.25,17.0
202,242,2013,6,-3.0,-3.0,-3.0,-3.5,-3.0,-3.5,-3.5,-3.0,-3,cusa,-3.0,-3.0
245,242,2013,1,,,-28.0,,,,,,21,sec,-28.0,-28.0
249,242,2013,10,-3.0,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-3.0,12,cusa,-2.5,-2.5
2636,242,2013,7,,1.0,1.0,1.0,,1.0,1.0,,-6,cusa,1.0,1.0
5,2393,2013,10,3.5,3.5,3.5,3.5,,4.0,3.5,3.5,-3,cusa,3.5,3.5
153,2393,2013,2,,-19.5,-19.5,-19.5,,-19.5,,,20,acc,-19.5,-19.5
249,2393,2013,7,-6.5,-6.5,-6.5,-6.5,,-7.0,-6.0,-6.5,27,cusa,-6.5,-6.5
252,2393,2013,5,,-23.5,-23.5,-23.5,,-23.5,,,27,independent,-23.5,-23.5
2226,2393,2013,4,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,-7,cusa,3.0,3.0
2572,2393,2013,13,,24.0,23.5,23.5,,23.5,,,-21,cusa,23.5,23.5
