user,item,rating
2,2,0.38
2,5,-1.14
2,6,0
2,8,-2.37
2,9,0
2,12,0.04
2,13,0
2,16,0
2,21,0
2,23,0
2,24,0.14
2,25,-1.12
2,26,-0.24
2,30,0.74
2,36,-1.55
2,38,-1.21
2,41,0
2,47,0
2,48,0
2,50,0
2,52,1.28
2,55,0
2,57,0.24
2,58,0
2,59,-0.66
2,61,-3.5
2,62,0
2,66,0
2,68,-0.14
2,70,-1.68
2,77,0.24
2,79,0
2,84,0
2,87,0
2,93,-1.56
2,96,-0.84
2,97,0.8
2,98,0.28
2,99,-0.28
2,103,-1.54
2,113,0
2,119,0
2,120,0
2,127,0
2,130,0
2,135,-0.3
2,142,2
2,145,3
2,147,0
2,150,0.15
2,151,0.3
2,152,0
2,153,-0.28
2,154,-2.18
2,158,0
2,160,0
2,164,0
2,166,-1.78
2,167,0
2,183,-0.31
2,189,-0.1
2,193,0
2,194,0.52
2,195,0
2,197,0.12
2,201,0.14
2,202,-0.64
2,204,0.46
2,213,0.14
2,218,-0.34
2,221,-0.46
2,222,0
2,228,0
2,231,0
2,233,0
2,235,-0.26
2,236,-1.92
2,238,-0.47
2,239,0.3
2,242,0.69
2,245,0.64
2,248,-0.12
2,249,-1.32
2,251,0
2,252,0
2,253,-0.56
2,254,-0.34
2,256,0
2,257,0
2,258,-0.82
2,259,-0.16
2,264,0
2,265,-14
2,275,0
2,276,0.65
2,277,0
2,278,0
2,282,-0.98
2,290,-1.14
2,295,-0.62
2,302,0
2,304,-2.02
2,309,-0.64
2,311,0
2,322,0
2,324,0
2,326,0
2,328,-0.28
2,331,0
2,333,10.25
2,344,-6.5
2,349,0
2,356,-0.38
2,2005,0
2,2006,0
2,2010,-2.1
2,2011,0
2,2016,0
2,2026,-1.6
2,2029,0
2,2032,-10.5
2,2046,0
2,2050,0
2,2065,0
2,2084,0
2,2110,0
2,2116,0.38
2,2117,0
2,2127,0
2,2132,0.54
2,2142,0
2,2197,0
2,2198,0
2,2199,0
2,2210,-1.76
2,2226,-23.5
2,2229,-0.78
2,2230,0
2,2241,0
2,2247,-2.16
2,2287,0
2,2294,0
2,2296,0
2,2305,-2.56
2,2306,-0.77
2,2309,-0.3
2,2320,-1.88
2,2335,0
2,2348,-0.58
2,2377,-0.82
2,2390,0.7
2,2393,0.14
2,2415,-1.4
2,2426,-0.36
2,2428,0
2,2433,-0.14
2,2439,0
2,2440,0
2,2447,0
2,2449,0
2,2450,0
2,2458,0
2,2459,0
2,2460,0
2,2464,-1.22
2,2466,-0.82
2,2483,1.33
2,2502,-1.22
2,2504,0
2,2506,0
2,2509,-0.8
2,2529,0
2,2534,0
2,2535,-1.3
2,2542,-2.32
2,2545,0
2,2546,-1.98
2,2567,0.11
2,2569,-2.06
2,2571,0
2,2572,-2.53
2,2579,-0.04
2,2582,0
2,2617,0
2,2619,0
2,2623,0
2,2628,-0.28
2,2630,-0.54
2,2633,-2.2
2,2634,0
2,2635,0
2,2636,-1.02
2,2638,-1.72
2,2641,-0.22
2,2643,-1.62
2,2649,-1.5
2,2653,-1.54
2,2655,-0.4
2,2678,0
2,2681,0
2,2692,0
2,2710,0
2,2711,0
2,2717,-41
2,2729,0
2,2747,0
2,2751,0
2,2754,0
2,2755,0
5,242,17.25
5,2226,-3.5
5,2393,3.5
5,2466,-20.5
5,2572,-14.5
6,2,-0.020681201233902668
6,5,-1.6027930956274568
6,6,-0.6085894423846177
6,8,-1.1581472690985493
6,9,0.4549864271458587
6,12,0
6,13,0
6,16,0
6,21,0
6,23,0
6,24,1.582111894393554
6,25,0
6,26,0
6,30,0
6,36,0
6,38,0
6,41,0
6,47,0
6,48,0
6,50,0
6,52,1.4166622845223327
6,55,0.1355041205600849
6,57,-0.20681201233902666
6,58,0
6,59,0
6,61,0.4136240246780533
6,62,0
6,66,-3.019455380149789
6,68,0
6,70,-2.419700544366612
6,77,0
6,79,0
6,84,0
6,87,0
6,93,-1.613133696244408
6,96,0.20600905703936392
6,97,0
6,98,7
6,99,0
6,103,0
6,113,-2.3679975412818552
6,119,0
6,120,0.186130811105124
6,127,0
6,130,0.08272480493561067
6,135,0
6,142,0.08272480493561067
6,145,0.124087207403416
6,147,0
6,150,0.42396462529500467
6,151,0
6,152,0.31021801850854003
6,153,0
6,154,0.10340600616951333
6,158,0
6,160,0
6,164,0
6,166,-1.3442780802036733
6,167,0
6,183,0.3308992197424427
6,189,0
6,193,-2.512765949919174
6,194,0
6,195,0
6,197,0
6,201,-0.8892916530578147
6,202,-0.961675857376474
6,204,0.10340600616951333
6,213,0
6,218,-0.35158042097634534
6,221,0
6,222,0
6,228,0
6,231,-1.9440329159868508
6,233,0
6,235,0
6,236,0.06452577169527852
6,238,-0.10340600616951333
6,239,0.7031608419526907
6,242,0
6,245,0.22749321357292934
6,248,0
6,249,-0.14476840863731866
6,251,-0.7031608419526907
6,252,0
6,253,-14
6,254,-0.08272480493561067
6,256,0
6,257,0
6,258,0
6,259,0
6,264,0
6,265,-0.5790736345492746
6,275,0
6,276,0.31021801850854003
6,277,-2.6471937579395415
6,278,0
6,282,0
6,290,0
6,295,0
6,302,0
6,304,0
6,309,-3
6,311,0
6,322,0
6,324,0
6,326,-1.116784866630744
6,328,0
6,331,0
6,333,0.42396462529500467
6,344,-0.16544960987122134
6,349,-0.4136240246780533
6,356,-0.5377112320814693
6,2005,0
6,2006,0
6,2010,0
6,2011,0
6,2016,0
6,2026,0
6,2029,-1.613133696244408
6,2032,-3
6,2046,-3.536485410997356
6,2050,0.806566848122204
6,2065,0
6,2084,-0.7652044456543987
6,2110,0
6,2116,0.20681201233902666
6,2117,-1.5717712937766026
6,2127,0
6,2132,0.10340600616951333
6,2142,0
6,2197,0
6,2198,0
6,2199,-1.5717712937766026
6,2210,0
6,2226,-0.9720164579934254
6,2229,0
6,2230,0
6,2241,0
6,2247,-2.2795642173243076
6,2287,-0.5377112320814693
6,2294,0
6,2296,0
6,2305,0
6,2306,0
6,2309,-7.5
6,2320,0
6,2335,0
6,2348,0
6,2377,0
6,2390,0
6,2393,0
6,2415,-2.7383529950333356
6,2426,0.13733937135957594
6,2428,0
6,2433,-3.5
6,2439,0
6,2440,0
6,2447,-2.295613336963196
6,2449,-0.5170300308475667
6,2450,0
6,2458,0
6,2459,0
6,2460,0
6,2464,0
6,2466,0
6,2483,0
6,2502,0
6,2504,-1.1747285207117442
6,2506,-1.5717712937766026
6,2509,-0.8892916530578147
6,2529,0
6,2534,0
6,2535,-1.2152265368131163
6,2542,-2.1301637270919747
6,2545,0
6,2546,0
6,2567,-0.13442780802036733
6,2569,0
6,2571,0
6,2572,-1.0237194610781821
6,2579,0.39294282344415066
6,2582,0
6,2617,0
6,2619,0
6,2623,0
6,2628,-0.93065405552562
6,2630,-0.558392433315372
6,2633,-0.4549864271458587
6,2634,0
6,2635,0
6,2636,0
6,2638,0
6,2641,-1.4476840863731868
6,2643,0
6,2649,-0.6617984394848854
6,2653,-1.0663700495829016
6,2655,-0.5168763129815716
6,2678,0
6,2681,0
6,2692,0
6,2710,0
6,2711,0
6,2717,-1.6958585011800187
6,2729,0
6,2747,-1.2408720740341601
6,2751,0.39789191830559073
6,2754,0
6,2755,-1.9641299893299717
8,2,9.5
8,245,13.5
8,309,-10
8,344,2.5
8,2535,-32.5
8,2572,-24.75
8,2579,5
9,12,-10.5
9,16,-38
9,24,-3
9,30,-4
9,38,-28.5
9,204,-13.5
9,264,-3.5
9,275,-7
12,26,-1.5
12,254,-3.5
12,265,-11
12,2464,-30.5
12,2483,20.5
12,2636,-25.5
21,68,6.5
21,167,-14
21,204,7
21,278,6.5
21,2197,-14
21,2440,-6
23,16,-20
23,21,-6.5
23,278,10.5
23,328,10
23,2426,-1
23,2751,-10.5
24,9,-7
24,23,-24.5
24,25,-31.5
24,26,-4
24,87,-16.5
24,264,-9
24,2483,10
25,12,15.5
25,30,18.5
25,77,6
25,194,13
25,204,11.5
25,265,1.5
25,2502,-30.5
26,9,3
26,25,-26.25
26,38,-29.5
26,166,-44
26,264,-3
26,2440,-20.5
30,2,0
30,5,0
30,6,0
30,8,0
30,9,0.0918182542506721
30,12,-5.5
30,13,-1.2239917572146697
30,16,-1.9767890017004706
30,21,0.7428563271221951
30,23,-0.8528250101636817
30,24,3.5
30,25,-4.214881639702096
30,26,-4.5
30,30,0.8968530031339027
30,36,0.3059979393036674
30,38,-2.759551380742156
30,41,0
30,47,0
30,48,0
30,50,0
30,52,0.17485596531638137
30,55,0
30,57,0
30,58,0
30,59,-0.7868518439237162
30,61,-0.04371399132909534
30,62,-1.474743938487484
30,66,0
30,68,-0.6101426358945896
30,70,-1.1467041346066198
30,77,-0.07702563020363046
30,79,0
30,84,0
30,87,0.13114197398728603
30,93,0
30,96,0
30,97,0
30,98,0.2404269523100244
30,99,0
30,103,-14.5
30,113,0
30,119,0
30,120,0
30,127,0.2404269523100244
30,130,0
30,135,0.6994238612655255
30,142,0.08742798265819068
30,145,0.13114197398728603
30,147,0
30,150,-0.2076414588132029
30,151,-0.5464248916136918
30,152,0
30,153,0
30,154,-1.3114197398728604
30,158,0
30,160,0
30,164,-0.4589969089555011
30,166,-0.5245678959491441
30,167,-1.4425617138601463
30,183,-0.2513554501422982
30,189,0
30,193,0
30,194,0.23564413804755363
30,195,0
30,197,0
30,201,0
30,202,0
30,204,-1.112272880666551
30,213,0
30,218,0
30,221,0.04371399132909534
30,222,0
30,228,1.344205233369682
30,231,0
30,233,0
30,235,0
30,236,0
30,238,0
30,239,0
30,242,0.7868518439237162
30,245,0
30,248,0
30,249,0
30,251,0.3278549349682151
30,252,0
30,253,-0.6770414404128892
30,254,-5
30,256,0
30,257,0
30,258,-0.8087088395882639
30,259,0
30,264,-0.5824008023283376
30,265,-16
30,275,-0.20309379541657752
30,276,0
30,277,-0.17485596531638137
30,278,0.4589969089555011
30,282,0
30,290,0
30,295,-1.6392746748410754
30,302,0
30,304,-4.191660518402377
30,309,0
30,311,0
30,322,0
30,324,0
30,326,0
30,328,-7
30,331,-1.136563774556479
30,333,0.44806841112322726
30,344,-0.28414094363911974
30,349,0.04371399132909534
30,356,-0.3606404284650366
30,2005,-0.13114197398728603
30,2006,0
30,2010,0
30,2011,0
30,2016,0
30,2026,0
30,2029,0
30,2032,-0.4589969089555011
30,2046,0
30,2050,0
30,2065,0
30,2084,0
30,2110,-0.5901388829427872
30,2116,0
30,2117,-0.32725166609873135
30,2127,-1.2239917572146697
30,2132,0
30,2142,-1.1147067788919314
30,2197,0
30,2198,0
30,2199,-0.4371399132909534
30,2210,0
30,2226,-1.0272787962337406
30,2229,-0.9179938179110022
30,2230,0
30,2241,0
30,2247,0
30,2287,0
30,2294,-0.13114197398728603
30,2296,0
30,2305,0
30,2306,0
30,2309,0
30,2320,0
30,2335,0
30,2348,0
30,2377,0
30,2390,0.3934259219618581
30,2393,-1.8797016271510998
30,2415,-1.4425617138601463
30,2426,-0.04371399132909534
30,2428,0
30,2433,0
30,2439,-1.267705748543765
30,2440,-0.9398508135755499
30,2447,-2.428978058535938
30,2449,0
30,2450,0
30,2458,0
30,2459,0
30,2460,0
30,2464,-1.3214771270519783
30,2466,0
30,2483,3.537079812643579
30,2502,-0.5528574008038758
30,2504,0
30,2506,0
30,2509,0
30,2529,0
30,2534,0
30,2535,0
30,2542,0
30,2545,0
30,2546,0
30,2567,0
30,2569,-2.25127055344841
30,2571,-0.9179938179110022
30,2572,-1.2239917572146697
30,2579,0
30,2582,0
30,2617,0
30,2619,0
30,2623,0
30,2628,0
30,2630,0
30,2633,-1.1527353498136657
30,2634,0
30,2635,0
30,2636,-1.2578405021051269
30,2638,0.17485596531638137
30,2641,0
30,2643,-1.7704166488283615
30,2649,0
30,2653,0
30,2655,-0.7649948482591685
30,2678,0
30,2681,-1.2895627442083126
30,2692,-0.16961779627708914
30,2710,-0.6108697767176319
30,2711,0
30,2717,-1.792273644492909
30,2729,0
30,2747,0
30,2751,-1.6392746748410754
30,2754,0
30,2755,0
36,2,-0.5545476139201977
36,5,0
36,6,-0.5118901051571055
36,8,0
36,9,0.10384098016424874
36,12,0.039629012106949774
36,13,-0.7880218446526583
36,16,-1.620985332997501
36,21,1.0877664734588492
36,23,-3.5
36,24,0.3625888244862831
36,25,-2.5935227157844043
36,26,0.06398626314463819
36,30,0.6185338770648359
36,36,-0.07465064033541123
36,38,-3
36,41,0
36,47,0
36,48,-0.7251776489725662
36,50,0
36,52,0
36,55,0
36,57,0
36,58,0
36,59,-0.319931315723191
36,61,0
36,62,-3.3717749217103363
36,66,0
36,68,7
36,70,-3.295292551948867
36,77,0
36,79,0
36,84,0
36,87,-0.7038488945910202
36,93,0
36,96,0
36,97,0
36,98,0
36,99,0
36,103,1.0664377190773033
36,113,0
36,119,0
36,120,-0.7251776489725662
36,127,0
36,130,0
36,135,0.6825201402094742
36,142,0
36,145,0
36,147,0
36,150,-1.279725262892764
36,151,0.8744789296433887
36,152,-1.4930128067082247
36,153,0
36,154,0
36,158,0.44790384201246736
36,160,0
36,164,-0.2955081917447469
36,166,-2.034891147566087
36,167,-3.0405767949837985
36,183,-1.599656578615955
36,189,0
36,193,0
36,194,0
36,195,0
36,197,0
36,201,0
36,202,0.12797252628927638
36,204,-0.4293506585490475
36,213,-0.12797252628927638
36,218,0
36,221,0.1919587894339146
36,222,0
36,228,0
36,231,0
36,233,0
36,235,-0.3412600701047371
36,236,0
36,238,-0.7465064033541123
36,239,0
36,242,-0.5118901051571055
36,245,0
36,248,-0.12797252628927638
36,249,0.12797252628927638
36,251,0.319931315723191
36,252,0.24468045447637596
36,253,0
36,254,-0.2986025613416449
36,256,0
36,257,0
36,258,0
36,259,0
36,264,-0.7223748572290846
36,265,-0.2071587295095373
36,275,0.40524633324937526
36,276,0.6931845174002471
36,277,0
36,278,0.9892097628893464
36,282,0
36,290,0
36,295,0
36,302,-0.6298191862949104
36,304,-2.577628687821746
36,309,0
36,311,0
36,322,0
36,324,0
36,326,0
36,328,1.134715529284794
36,331,-1.1090952278403954
36,333,0.37325320167705617
36,344,-0.8318214208802965
36,349,-0.8318214208802965
36,356,0
36,2005,-17.5
36,2006,0
36,2010,0
36,2011,0
36,2016,0
36,2026,0
36,2029,0
36,2032,0
36,2046,0
36,2050,0.12797252628927638
36,2065,-1.7063003505236853
36,2084,0
36,2110,0
36,2116,0
36,2117,-0.319931315723191
36,2127,0
36,2132,0
36,2142,0
36,2197,-0.5916539808470375
36,2198,0
36,2199,0
36,2210,0
36,2226,-0.5972051226832898
36,2229,-0.8318214208802965
36,2230,0
36,2241,0
36,2247,0
36,2287,0
36,2294,0.10664377190773033
36,2296,-1.0877664734588492
36,2305,-0.25594505257855277
36,2306,0
36,2309,0
36,2320,0
36,2335,0
36,2348,-0.6185338770648359
36,2377,0
36,2390,-0.9171364384064808
36,2393,-1.279725262892764
36,2415,0
36,2426,0
36,2428,0
36,2433,0
36,2439,-1.5747220473184862
36,2440,-8.5
36,2447,0
36,2449,0
36,2450,0
36,2458,0
36,2459,0
36,2460,0
36,2464,0
36,2466,0
36,2483,0.5819441347630743
36,2502,0
36,2504,0
36,2506,0
36,2509,0
36,2529,0
36,2534,-1.4930128067082247
36,2535,0
36,2542,0
36,2545,0
36,2546,0
36,2567,-1.1730814909850336
36,2569,0
36,2571,0
36,2572,-1.16013949224291
36,2579,0
36,2582,0
