Day,DiffPtsAPG,DiffPtsFPG,DiffPtsPAG,Home,Home1Q,Home2Q,Home3Q,Home4Q,HomeConf,HomeConf_AAC,HomeConf_ACC,HomeConf_Big10,HomeConf_Big12,HomeConf_ConferenceUSA,HomeConf_Independent,HomeConf_MidAmerican,HomeConf_MountainWest,HomeConf_NotD1,HomeConf_PAC12,HomeConf_SEC,HomeConf_SunBelt,HomeDiffOD,HomeFinal,HomeFmb,HomeFmbPG,HomeFrstD,HomeFrthDA,HomeFrthDC,HomeGames,HomeID,HomeInt,HomeIntPG,HomeMLBetUS,HomeMLMirage,HomeMLPinnacle,HomeMLSBG,HomeMLSIA,HomeMLSportsbet,HomeMLStation,HomeMLWestgate,HomeOT,HomePassA,HomePassAPG,HomePassC,HomePassY,HomePassYPA,HomePassYPC,HomePassYPG,HomePnl,HomePnlPG,HomePnlY,HomePnlYPG,HomePtsA,HomePtsAPG,HomePtsF,HomePtsFPG,HomeRushA,HomeRushAPG,HomeRushY,HomeRushYPA,HomeRushYPG,HomeSpreadOddsBetUS,HomeSpreadOddsMirage,HomeSpreadOddsPinnacle,HomeSpreadOddsSBG,HomeSpreadOddsSIA,HomeSpreadOddsSportsbet,HomeSpreadOddsStation,HomeSpreadOddsWestgate,HomeThrdDA,HomeThrdDC,HomeTm,HomeWinPct,HomeWins,Month,NeutralSite,OverOddsBetUS,OverOddsMirage,OverOddsPinnacle,OverOddsSBG,OverOddsSIA,OverOddsSportsbet,OverOddsStation,OverOddsWestgate,OverUnderWag,OverunderBetUS,OverunderMirage,OverunderPinnacle,OverunderSBG,OverunderSIA,OverunderSportsbet,OverunderStation,OverunderWestgate,Season,Spread,SpreadBetUS,SpreadMirage,SpreadPinnacle,SpreadSBG,SpreadSIA,SpreadSportsbet,SpreadStation,SpreadWag,SpreadWestgate,UnderOddsBetUS,UnderOddsMirage,UnderOddsPinnacle,UnderOddsSBG,UnderOddsSIA,UnderOddsSportsbet,UnderOddsStation,UnderOddsWestgate,Vis1Q,Vis2Q,Vis3Q,Vis4Q,VisConf,VisConf_AAC,VisConf_ACC,VisConf_Big10,VisConf_Big12,VisConf_ConferenceUSA,VisConf_Independent,VisConf_MidAmerican,VisConf_MountainWest,VisConf_NotD1,VisConf_PAC12,VisConf_SEC,VisConf_SunBelt,VisDiffOD,VisFinal,VisFmb,VisFmbPG,VisFrstD,VisFrthDA,VisFrthDC,VisGames,VisID,VisInt,VisIntPG,VisMLBetUS,VisMLMirage,VisMLPinnacle,VisMLSBG,VisMLSIA,VisMLSportsbet,VisMLStation,VisMLWestgate,VisOT,VisPassA,VisPassAPG,VisPassC,VisPassY,VisPassYPA,VisPassYPC,VisPassYPG,VisPnl,VisPnlPG,VisPnlY,VisPnlYPG,VisPtsA,VisPtsAPG,VisPtsF,VisPtsFPG,VisRushA,VisRushAPG,VisRushY,VisRushYPA,VisRushYPG,VisSpreadOddsBetUS,VisSpreadOddsMirage,VisSpreadOddsPinnacle,VisSpreadOddsSBG,VisSpreadOddsSIA,VisSpreadOddsSportsbet,VisSpreadOddsStation,VisSpreadOddsWestgate,VisThrdDA,VisThrdDC,VisTm,VisWinPct,VisWins,Visiter,Week,WeekDate,Year
27,,0.0,0.0,GAST,7.0,14.0,0.0,17.0,SunBelt,0,0,0,0,0,0,0,0,0,0,0,1,0.0,38,,0.0,,,,0.0,2247,,0.0,-190.0,,-183.0,-200.0,-210.0,-205.0,-220.0,-190.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-120.0,,-116.0,-110.0,-110.0,-107.0,-110.0,-115.0,,,,0.0,0.0,8,0,-120.0,,-108.0,-110.0,-110.0,-107.0,-110.0,-110.0,,54.5,,54.5,54.5,54.0,54.5,55.5,55.5,2014,1,-5.5,,-4.5,-4.5,-5.0,-5.5,-5.0,,-4.5,-120.0,,-108.0,-110.0,-110.0,-107.0,-110.0,-110.0,3.0,13.0,14.0,7.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,37,,0.0,,,,0.0,2000,,0.0,145.0,,155.0,170.0,175.0,180.0,180.0,170.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-120.0,,-101.0,-110.0,-110.0,-107.0,-110.0,-110.0,,,,0.0,0.0,ACU,1.0,2014-08-27,2014
28,,0.0,0.0,SC,7.0,7.0,14.0,0.0,SEC,0,0,0,0,0,0,0,0,0,0,1,0,0.0,28,0.0,0.0,23.0,1.0,0.0,0.0,2579,1.0,0.0,-370.0,-400.0,-330.0,-390.0,-365.0,-336.0,-450.0,-400.0,,40.0,0.0,20.0,366.0,0.0,0.0,0.0,4.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,67.0,0.0,0.0,-110.0,100.0,100.0,-110.0,-115.0,-107.0,-110.0,-110.0,9.0,2.0,1342.0,0.0,0.0,8,0,-110.0,-110.0,100.0,-110.0,100.0,-107.0,-110.0,-110.0,60.5,61.0,61.5,61.0,61.0,61.0,60.5,60.5,61.5,2014,-24,-9.0,-10.0,-9.5,-9.5,-9.0,-9.0,-10.0,-9.0,-10.0,-110.0,-110.0,-112.0,-110.0,-120.0,-107.0,-110.0,-110.0,10.0,21.0,14.0,7.0,SEC,0,0,0,0,0,0,0,0,0,0,1,0,0.0,52,0.0,0.0,39.0,2.0,2.0,0.0,245,0.0,0.0,300.0,330.0,282.0,320.0,285.0,294.0,325.0,330.0,,60.0,0.0,44.0,511.0,0.0,0.0,0.0,8.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,169.0,0.0,0.0,-110.0,-120.0,-112.0,-110.0,-105.0,-107.0,-110.0,-110.0,17.0,12.0,2258.0,0.0,0.0,TA&M,1.0,2014-08-28,2014
28,,0.0,0.0,MER,7.0,17.0,14.0,7.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,45,,0.0,,,,0.0,2382,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,8,0,,,,,,,,,,,,,,,,,,2014,3,,,,,,,,,,,,,,,,,,7.0,14.0,14.0,7.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,42,,0.0,,,,0.0,2890,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,REIN,1.0,2014-08-28,2014
28,,0.0,0.0,CAMP,0.0,3.0,0.0,6.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,9,,0.0,,,,0.0,2097,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,8,0,,,,,,,,,,,,,,,,,,2014,-24,,,,,,,,,,,,,,,,,,6.0,0.0,21.0,6.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,33,,0.0,,,,0.0,2429,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,CHAR,1.0,2014-08-28,2014
28,,0.0,0.0,AKR,21.0,0.0,13.0,7.0,MidAmerican,0,0,0,0,0,0,1,0,0,0,0,0,0.0,41,,0.0,,,,0.0,2006,,0.0,,,,,-9999.0,-4625.0,,-8000.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,-110.0,-107.0,,-110.0,,,,0.0,0.0,8,0,,,,,-110.0,-107.0,,-110.0,,,,,,53.0,53.0,,53.0,2014,41,,,,,-25.5,-25.5,,,-25.0,,,,,-110.0,-107.0,,-110.0,0.0,0.0,0.0,0.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,,0.0,,,,0.0,47,,0.0,,,,,2000.0,2875.0,,1800.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,-110.0,-107.0,,-110.0,,,,0.0,0.0,HOW,1.0,2014-08-28,2014
28,,0.0,0.0,NWST,10.0,14.0,0.0,3.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,27,,0.0,,,,0.0,2466,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,8,0,,,,,,,,,,,,,,,,,,2014,-7,,,,,,,,,,,,,,,,,,0.0,7.0,7.0,20.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,34,,0.0,,,,0.0,2623,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,MOST,1.0,2014-08-28,2014
28,,0.0,0.0,STON,0.0,7.0,0.0,0.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,7,,0.0,,,,0.0,2619,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,8,0,,,,,,,,,,,,,,,,,,2014,-6,,,,,,,,,,,,,,,,,,6.0,0.0,7.0,0.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,13,,0.0,,,,0.0,2803,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,BRY,1.0,2014-08-28,2014
28,,0.0,0.0,NIU,17.0,17.0,21.0,0.0,MidAmerican,0,0,0,0,0,0,1,0,0,0,0,0,0.0,55,,0.0,,,,0.0,2459,,0.0,,,,,,-81000.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,-107.0,,,,,,0.0,0.0,8,0,,,,,,-107.0,,,,,,,,,60.0,,,2014,52,,,,,,-40.0,,,,,,,,,-107.0,,,0.0,0.0,3.0,0.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3,,0.0,,,,0.0,2506,,0.0,,,,,,39000.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,-107.0,,,,,,0.0,0.0,PRE,1.0,2014-08-28,2014
28,,0.0,0.0,ULM,0.0,0.0,10.0,7.0,SunBelt,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,1.0,0.0,21.0,2.0,1.0,0.0,2433,0.0,0.0,-130.0,,-118.0,-125.0,-125.0,-122.0,-120.0,-135.0,,41.0,0.0,23.0,189.0,0.0,0.0,0.0,5.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,163.0,0.0,0.0,-110.0,,-106.0,-110.0,-115.0,-107.0,-110.0,-110.0,21.0,9.0,2123.0,0.0,0.0,8,0,-110.0,,-109.0,-110.0,-110.0,-107.0,-110.0,-110.0,45.0,44.5,,44.5,44.5,44.5,44.5,45.0,44.5,2014,7,-1.5,,-1.5,-1.5,-2.5,-1.5,-1.5,-2.0,-2.5,-110.0,,-103.0,-110.0,-110.0,-107.0,-110.0,-110.0,7.0,3.0,0.0,0.0,ACC,0,1,0,0,0,0,0,0,0,0,0,0,0.0,10,0.0,0.0,5.0,0.0,0.0,0.0,154,1.0,0.0,110.0,,105.0,105.0,105.0,108.0,100.0,115.0,,22.0,0.0,12.0,97.0,0.0,0.0,0.0,8.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,-3.0,0.0,0.0,-110.0,,-106.0,-110.0,-105.0,-107.0,-110.0,-110.0,14.0,3.0,1477.0,0.0,0.0,WAKE,1.0,2014-08-28,2014
28,,0.0,0.0,CMU,0.0,7.0,13.0,0.0,MidAmerican,0,0,0,0,0,0,1,0,0,0,0,0,0.0,20,,0.0,,,,0.0,2117,,0.0,-400.0,,-380.0,-450.0,-430.0,-398.0,,-500.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-110.0,,-108.0,-110.0,-110.0,-107.0,,-110.0,,,,0.0,0.0,8,0,-110.0,,-108.0,-110.0,-110.0,-107.0,,-110.0,,53.5,,53.5,53.5,53.5,53.5,,53.5,2014,4,-10.5,,-10.0,-10.5,-10.5,-10.5,,,-12.5,-110.0,,-108.0,-110.0,-110.0,-107.0,,-110.0,3.0,13.0,0.0,0.0,NotD1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,16,,0.0,,,,0.0,236,,0.0,320.0,,305.0,325.0,330.0,342.0,,400.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-110.0,,-108.0,-110.0,-110.0,-107.0,,-110.0,,,,0.0,0.0,CHAT,1.0,2014-08-28,2014
