Visiter,Home,SpreadWag,OverUnderWag,Year,Month,Day,HomeID,VisID
FIU,Florida,-13.0,45.5,2015,9,3,57,2229
Oklahoma State,Michigan,23.5,59.0,2015,9,3,130,197
Kentucky,Vanderbilt,2.5,62.0,2015,9,3,238,96
South Carolina,UNC,1.5,62.0,2015,9,3,153,2579
FIU,UCF,-11.5,44.5,2015,9,3,2116,2229
Oklahoma State,Cent Michigan,21.0,58.0,2015,9,3,2117,197
Michigan,Utah,-5.5,44.5,2015,9,3,254,130
TCU,Minnesota,15.5,56.5,2015,9,3,135,2628
Duke,Tulane,6.0,52.0,2015,9,3,2655,150
Ohio,Idaho,7.0,57.5,2015,9,3,70,195
UTSA,Arizona,-32.5,59.0,2015,9,3,12,2636
W Kentucky,Vanderbilt,2.5,60.5,2015,9,3,238,98
Colorado,Hawaii,7.0,60.0,2015,9,4,62,38
Michigan State,Michigan,17.0,57.0,2015,9,4,130,127
Kent State,Illinois,-14.5,51.5,2015,9,4,356,2309
Baylor,SMU,36.5,71.0,2015,9,4,2567,239
Michigan State,W Michigan,16.5,55.5,2015,9,4,2711,127
Washington,Boise State,-12.5,54.5,2015,9,4,68,264
Charlotte,Georgia State,-7.5,68.5,2015,9,4,2247,2429
Old Dominion,Michigan,4.5,61.5,2015,9,5,130,295
UNLV,Illinois,-23.0,62.5,2015,9,5,356,2439
Lafayette,Kentucky,-17.0,57.5,2015,9,5,96,322
Southern,West Virginia,-17.5,56.0,2015,9,5,277,2582
Arkansas State,Cal,-27.0,69.5,2015,9,5,25,2032
Old Dominion,E Michigan,6.5,59.5,2015,9,5,2199,295
New Mexico St,Florida,-34.0,54.5,2015,9,5,57,166
Penn State,Temple,6.0,43.0,2015,9,5,218,213
FAU,Tulsa,-3.5,66.0,2015,9,5,202,2226
UVA,UCLA,-18.0,53.0,2015,9,5,26,258
Stanford,Northwestern,10.5,48.0,2015,9,5,77,24
Louisville,Auburn,-10.5,54.0,2015,9,5,2,97
Arizona State,Texas A&M,-3.0,64.5,2015,9,5,245,9
BYU,Nebraska,-4.5,57.5,2015,9,5,158,252
Troy,North Carolina St,-25.0,62.0,2015,9,5,152,2653
UNLV,N Illinois,-22.0,61.0,2015,9,5,2459,2439
Akron,Oklahoma,-31.5,57.5,2015,9,5,201,2006
Bowling Green,Tennessee,-21.5,67.5,2015,9,5,2633,189
UL Monroe,Georgia,-34.5,56.5,2015,9,5,61,2433
LA-Lafayette,Kentucky,-16.0,57.5,2015,9,5,96,309
UTEP,Arkansas,-31.5,50.0,2015,9,5,8,2638
Ga Southern,West Virginia,-16.5,55.0,2015,9,5,277,290
Texas,Notre Dame,-9.0,48.5,2015,9,5,87,251
Texas State,FSU,-27.5,59.5,2015,9,5,52,326
Wisconsin,Alabama,-12.5,44.5,2015,9,5,333,275
Miss St,Southern Miss,20.5,61.0,2015,9,5,2572,344
Arkansas State,USC,-27.0,66.5,2015,9,5,30,2032
Kent State,Illinois,-13.5,53.5,2015,9,5,356,2309
Purdue,Marshall,-7.5,61.5,2015,9,6,276,2509
OSU,VT,13.5,53.0,2015,9,7,259,194
LA Tech,Kentucky,1.5,61.5,2015,9,10,96,2348
Florida,FAU,17.5,55.5,2015,9,11,2226,57
Miami (FL),FAU,17.0,56.0,2015,9,11,2226,2390
Utah State,Utah,-11.5,44.5,2015,9,11,254,328
Florida,FSU,-28.5,54.5,2015,9,12,52,57
Michigan,Southern,4.5,56.0,2015,9,12,2582,130
Texas,SMU,-5.0,61.0,2015,9,12,2567,251
Alabama,Nebraska,-27.0,54.0,2015,9,12,158,333
Idaho,Cal,-44.0,67.0,2015,9,12,25,70
Florida,Stanford,-18.5,45.5,2015,9,12,24,57
Michigan,Wyoming,-13.5,53.0,2015,9,12,2751,130
Ohio,Wisconsin,-31.0,52.0,2015,9,12,275,195
USF,FSU,-28.5,54.0,2015,9,12,52,58
W Michigan,Ga Southern,4.5,56.5,2015,9,12,290,2711
Buffalo,Penn State,-17.0,48.0,2015,9,12,213,2084
Army,UConn,-6.5,47.0,2015,9,12,41,349
ECU,Florida,-20.5,53.0,2015,9,12,57,151
Houston,Louisville,-13.5,56.0,2015,9,12,97,248
Fresno State,Ole Miss,-32.0,55.5,2015,9,12,145,278
Temple,Cincinnati,-5.5,56.0,2015,9,12,2132,218
LSU,Miss St,3.5,53.0,2015,9,12,344,99
Kansas State,UTSA,14.5,51.0,2015,9,12,2636,2306
Wake Forest,Syracuse,-4.0,42.0,2015,9,12,183,154
Appalachian St,Clemson,-18.5,57.5,2015,9,12,228,2026
Missouri,Arkansas State,10.0,55.0,2015,9,12,2032,142
UMass,Colorado,-13.0,61.0,2015,9,12,38,113
Minnesota,Colorado State,4.0,59.5,2015,9,12,36,135
Oregon State,Michigan,-13.5,45.5,2015,9,12,130,204
Tulane,Georgia Tech,-31.5,59.5,2015,9,12,59,2655
Georgia,Vanderbilt,18.0,49.0,2015,9,12,238,61
Boise State,BYU,2.5,57.0,2015,9,12,252,68
Notre Dame,UVA,13.0,47.0,2015,9,12,258,87
Iowa,Iowa State,3.0,48.5,2015,9,12,66,2294
San Diego State,Cal,-12.5,59.0,2015,9,12,25,21
