Visiter,Home,SpreadWag,OverUnderWag,Year,Month,Day,HomeID,VisID
Texas A&M,South Carolina,-9.0,60.5,2014,8,28,2579,245
Wake Forest,UL Monroe,-2.0,45.0,2014,8,28,2433,154
Tulane,Tulsa,-5.5,46.5,2014,8,28,202,2655
Ole Miss,Boise State,9.5,51.5,2014,8,28,68,145
Temple,Vanderbilt,-8.5,49.5,2014,8,28,238,218
Rutgers,Washington St,-7.5,61.0,2014,8,28,265,164
BYU,UConn,14.5,54.0,2014,8,29,41,252
Bowling Green,W Kentucky,6.5,63.5,2014,8,29,98,189
Colorado State,Colorado,-2.5,53.5,2014,8,29,38,36
UTSA,Houston,-9.0,55.5,2014,8,29,248,2636
UNLV,Arizona,-21.0,59.0,2014,8,29,12,2439
Penn State,UCF,-2.5,43.5,2014,8,30,2116,213
OSU,Navy,13.5,53.0,2014,8,30,2426,194
UCLA,UVA,18.0,50.5,2014,8,30,258,26
Appalachian St,Michigan,-29.0,54.0,2014,8,30,130,2026
Troy,UAB,2.5,60.0,2014,8,30,5,2653
Cal,Northwestern,-8.5,63.0,2014,8,30,77,25
Ga Southern,North Carolina St,-20.5,57.0,2014,8,30,152,290
FAU,Nebraska,-20.0,51.5,2014,8,30,158,2226
Boston College,UMass,17.5,48.0,2014,8,30,113,103
Marshall,Miami (OH),24.5,62.0,2014,8,30,193,276
Rice,Notre Dame,-19.5,52.5,2014,8,30,87,242
Alabama,West Virginia,22.0,53.0,2014,8,30,277,333
Clemson,Georgia,-9.5,55.5,2014,8,30,61,228
Ohio,Kent State,-3.0,46.5,2014,8,30,2309,195
LA Tech,Oklahoma,-34.0,56.5,2014,8,30,201,2348
W Michigan,Purdue,-7.5,51.0,2014,8,30,2509,2711
Fresno State,USC,-18.5,58.5,2014,8,30,30,278
Southern Miss,Miss St,-31.0,54.0,2014,8,30,344,2572
FSU,Oklahoma State,18.0,64.0,2014,8,30,197,52
North Texas,Texas,-21.0,48.0,2014,8,30,251,249
UTEP,New Mexico,-9.0,56.5,2014,8,30,167,2638
LSU,Wisconsin,3.0,49.5,2014,8,30,275,99
Arkansas,Auburn,-17.5,57.0,2014,8,30,2,8
Washington,Hawaii,17.0,55.5,2014,8,30,62,264
Utah State,Tennessee,-3.5,50.5,2014,8,31,2633,328
SMU,Baylor,-31.5,74.0,2014,8,31,239,2567
Miami (FL),Louisville,-5.0,56.0,2014,9,1,97,2390
Arizona,UTSA,7.5,55.0,2014,9,4,2636,12
Pitt,Boston College,5.5,50.0,2014,9,5,103,221
Washington St,Nevada,3.0,67.0,2014,9,5,2440,265
FAU,Alabama,-42.0,52.5,2014,9,6,333,2226
Kansas State,Iowa State,11.5,55.0,2014,9,6,66,2306
Ball State,Iowa,-17.5,52.5,2014,9,6,2294,2050
N Illinois,Northwestern,-6.5,59.0,2014,9,6,77,2459
Cent Michigan,Purdue,-3.0,53.5,2014,9,6,2509,2117
Buffalo,Army,-3.0,52.5,2014,9,6,349,2084
Missouri,Toledo,3.5,60.0,2014,9,6,2649,142
Navy,Temple,3.0,58.0,2014,9,6,218,2426
W Kentucky,Illinois,-4.0,68.0,2014,9,6,356,98
UAB,Miss St,-29.0,57.5,2014,9,6,344,5
New Mexico St,Georgia State,-3.5,64.0,2014,9,6,2247,166
Colorado,UMass,17.5,50.5,2014,9,6,113,38
South Alabama,Kent State,2.0,52.5,2014,9,6,2309,6
Fresno State,Utah,-13.5,64.0,2014,9,6,254,278
USC,Stanford,-3.0,53.5,2014,9,6,24,30
Akron,Penn State,-14.0,50.5,2014,9,6,213,2006
Ohio,Kentucky,-13.0,52.0,2014,9,6,96,195
